theme,url,img,lines,author
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20221215_thursday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,<Author:0x00007f69fb8f4de8>
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20221214_wednesday_quote.jpg,We can find common ground only by moving to higher ground.,<Author:0x00007f69fb93ec68>
COMMON GROUND,/inspirational-quotes/4406-our-similarities-bring-us-to-a-common-ground,https://assets.passiton.com/quotes/quote_artwork/4406/medium/20221213_tuesday_quote.jpg,Our similarities bring us to a common ground; our differences allow us to be fascinated by each other.,<Author:0x00007f69fb92cc48>
COMMON GROUND,/inspirational-quotes/7337-we-can-learn-to-see-each-other-and-see,https://assets.passiton.com/quotes/quote_artwork/7337/medium/20221212_monday_quote.jpg,We can learn to see each other and see ourselves in each other and recognize that human beings are more alike than we are unalike.,<Author:0x00007f69fb9767f8>
HOPE,/inspirational-quotes/6731-infuse-your-life-with-action-dont-wait-for-it,https://assets.passiton.com/quotes/quote_artwork/6731/medium/20221209_friday_quote.jpg,Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope.,<Author:0x00007f69fb964f08>
HOPE,/inspirational-quotes/7027-its-not-enough-to-have-lived-we-should-be,https://assets.passiton.com/quotes/quote_artwork/7027/medium/20221208_thursday_quote.jpg,"It's not enough to have lived. We should be determined to live for something. May I suggest that it be creating joy for others, sharing what we have for the betterment of personkind, bringing hope to the lost and love to the lonely.",<Author:0x00007f69fb9aec48>
HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20221207_wednesday_quote.jpg,"Hope sees the invisible, feels the intangible, and achieves the impossible.",<Author:0x00007f69fb99c868>
HOPE,/inspirational-quotes/3313-hope-is-the-thing-with-feathers-that-perches-in,https://assets.passiton.com/quotes/quote_artwork/3313/medium/20221205_monday_quote.jpg,Hope is the thing with feathers that perches in the soul and sings the tunes without the words and never stops at all.,<Author:0x00007f69fb9866a8>
HOPE,/inspirational-quotes/7176-it-is-often-in-the-darkest-skies-that-we-see,https://assets.passiton.com/quotes/quote_artwork/7176/medium/20221206_tuesday_quote.jpg,It is often in the darkest skies that we see the brightest stars.,<Author:0x00007f69fb9cff38>
ACHIEVEMENT,/inspirational-quotes/6715-accomplishments-will-prove-to-be-a-journey-not,https://assets.passiton.com/quotes/quote_artwork/6715/medium/20221202_friday_quote.jpg,"Accomplishments will prove to be a journey, not a destination.",<Author:0x00007f69fb9be508>
ACHIEVEMENT,/inspirational-quotes/7617-make-the-most-of-yourself-by-fanning-the-tiny,https://assets.passiton.com/quotes/quote_artwork/7617/medium/20221201_thursday_quote.jpg,"Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement. ",<Author:0x00007f69fba07d98>
ACHIEVEMENT,/inspirational-quotes/8013-there-is-no-magic-to-achievement-it-s-really,https://assets.passiton.com/quotes/quote_artwork/8013/medium/20221130_wednesday_quote.jpg,"There is no magic to achievement. It’s really about hard work, choices, and persistence.",<Author:0x00007f69fb9f4e28>
ACHIEVEMENT,/inspirational-quotes/5472-it-doesnt-matter-who-you-are-or-where-you-come,https://assets.passiton.com/quotes/quote_artwork/5472/medium/20221129_tuesday_quote.jpg,It doesn't matter who you are or where you come from. The ability to triumph begins with you.,<Author:0x00007f69f97723c8>
